112:door-stuff:door
118:floor-wood:floor
133:mirror-stuff:mirror
145:playingfield:playing_field
171:wall-brick:wall
175:wall-stone:wall
176:wall-tile:wall
177:wall-wood:wall
178:water-other:water
180:window-blind:window
181:window-other:window
184:tree-merged:tree
185:fence-merged:fence
186:ceiling-merged:ceiling
187:sky-other-merged:sky
188:cabinet-merged:cabinet
189:table-merged:table
190:floor-other-merged:floor
191:pavement-merged:pavement
192:mountain-merged:mountain
193:grass-merged:grass
194:dirt-merged:dirt
195:paper-merged:paper
196:food-other-merged:food
197:building-other-merged:building
198:rock-merged:rock
199:wall-other-merged:wall
200:rug-merged:rug
-1:furniture-stuff:furniture
-1:food-stuff:food
-1:raw-material:material
